name,lat,lng,price,bhk,img
Samudhrika Sunshine Garudachar Palaya,12.987468,77.702689,52.9,2,https://images.nobroker.in/images/ff80818160e90ff60160e9129a4400f8/ff80818160e90ff60160e9129a4400f8_57470_medium.jpg
Samudhrika Sunshine Garudachar Palaya,12.987468,77.702689,42.9,1,https://images.nobroker.in/images/ff80818160e90ff60160e9129a4400f8/ff80818160e90ff60160e9129a4400f8_57470_medium.jpg
Neeladhari Paradise,12.9881062,77.698495,67,3,https://im.proptiger.com/1/1207192/6/paradise-elevation-2845766.jpeg
Brigade Metropolis,12.9900508,77.7003452,150,3,http://www.propreview.in/wp-content/uploads/2013/12/brigade-metropolis-image.jpg
Elegance Sri Sai Sanndhi,12.995534,77.6857759,50.24,2,https://newprojects.99acres.com/projects/unknown/elegance_sri_sai_sannidhi/images/el.jpg
Geetha Mansion,12.9720898,77.69438,57.27,2,https://content1.jdmagicbox.com/comp/udupi/b1/0820px820.x820.120803144432.d8b1/catalogue/geeta-mandir-guest-house-udupi-ho-udupi-hotels-4d0dzn8.jpg
Nester Raga,12.9874228,77.6883636,75,2,https://s3-ap-southeast-1.amazonaws.com/addadocuments/brk/apartment/284/1424444549-nr6.jpg
Dhaaruni Residences,12.9887666,77.690074,87.5,2,https://img.staticmb.com/mbimages/project/Photo_h300_w450/Project-Photo-7-Dhaaruni-Residences-Bangalore-5071451_452_962_300_450.jpg
Assetz Marq,13.024429,77.762058,59,2,http://www.ananyapropsolutions.com/wp-content/uploads/2015/12/5.jpg
DSR Lotus Towers,12.9909087,77.7218216,64.58,2,https://www.happykeys.com/uploads/new_images/thumbs/618_0_Untitled3.jpg
